id,firstName,middleName,lastName,DOB,location,username,mobile,email,passwordHash,registeredAt,cardNumber
1,Karole,NULL,De Domenici,27/08/1981,Poland,Portugal,NULL,kdedomenici0@unesco.org,WKlCwNp,24/12/2007 13:17,3.57E+15
2,Tyrone,NULL,Tison,04/02/2002,China,Canada,NULL,ttison1@alibaba.com,cSnEDbGjq43,28/09/2015 11:21,6.71E+15
3,Inglebert,NULL,Dockery,28/02/1995,China,Germany,NULL,idockery2@tinypic.com,zoNR6RxC7G,21/02/2004 02:44,6.33E+15
4,Rhodia,NULL,Piers,02/11/1999,Indonesia,Serbia,5686543826,rpiers3@meetup.com,pjLt5zME,12/09/2008 11:11,6.76E+17
5,Dreddy,NULL,Stiles,02/10/1991,Hungary,Bulgaria,1922944421,dstiles4@nifty.com,FftUFrJU6GL,19/05/2019 18:58,4.02E+12
6,Dwayne,NULL,Bruton,14/11/1982,Serbia,China,NULL,dbruton5@yahoo.com,pQDM5RvVFSPD,28/12/2010 13:54,3.59E+15
7,Rex,NULL,Gibbonson,06/02/1982,Russia,France,NULL,rgibbonson6@github.com,fpvFfhY8,06/04/2010 04:17,3.54E+15
8,Anabel,NULL,Ben-Aharon,22/05/1984,United States,China,NULL,abenaharon7@google.es,4SviBsGhFIZL,18/01/2006 22:58,2.02E+14
9,Eula,NULL,Rustidge,28/05/1989,Argentina,Philippines,5982455745,erustidge8@yolasite.com,43UQsym64C,09/11/2003 07:07,5.35E+15
10,Dolly,NULL,Yewen,02/07/1985,Indonesia,Ukraine,1865292261,dyewen9@de.vu,LURQAb3V1ktK,22/06/2013 19:01,4.04E+12
